order_id,order_date,customer_id,customer_age,customer_prefecture,book_title,book_category,unit_price,quantity,total_amount,payment_method,shipping_fee,discount_amount,final_amount
ORD00000001,2023-07-10,CUST001487,20,東京都,"冒険小説",児童書,1646,1,1646,コンビニ決済,500,370,1776
ORD00000002,2023-03-07,CUST002651,20,愛知県,"太宰治名作選",小説,1415,5,7075,Amazon Pay,0,0,7075
ORD00000003,2023-05-01,CUST002931,19,福岡県,"東野圭吾ミステリー",小説,1244,5,6220,Amazon Pay,0,0,6220
ORD00000004,2023-11-29,CUST000536,55,愛知県,"JavaScript入門",技術書,4708,2,9416,コンビニ決済,0,0,9416
ORD00000005,2023-09-11,CUST000920,25,北海道,"ビジネス週刊",雑誌,829,1,829,Amazon Pay,500,179,1150
ORD00000006,2023-10-27,CUST000190,40,福岡県,"世界史",学習参考書,1948,3,5844,PayPay,0,0,5844
ORD00000007,2023-02-20,CUST002969,45,兵庫県,"ファッション誌",雑誌,925,4,3700,コンビニ決済,0,0,3700
ORD00000008,2024-12-03,CUST003872,18,東京都,"物理基礎",学習参考書,2812,2,5624,クレジットカード,0,0,5624
ORD00000009,2023-08-07,CUST002600,45,神奈川県,"呪術廻戦",漫画,602,3,1806,楽天ペイ,500,0,2306
ORD00000010,2023-02-08,CUST000375,60,兵庫県,"ビジネス週刊",雑誌,796,5,3980,コンビニ決済,0,0,3980
ORD00000011,2023-10-13,CUST003092,40,神奈川県,"ファッション誌",雑誌,553,4,2212,銀行振込,0,398,1814
ORD00000012,2023-06-20,CUST004276,30,千葉県,"太宰治名作選",小説,1229,2,2458,PayPay,0,0,2458
ORD00000013,2023-12-15,CUST000622,60,東京都,"現代文読解",学習参考書,3229,5,16145,クレジットカード,0,949,15196
ORD00000014,2023-07-29,CUST000199,19,神奈川県,"クラウド技術",技術書,4061,4,16244,コンビニ決済,0,0,16244
ORD00000015,2024-03-11,CUST000898,19,千葉県,"ファッション誌",雑誌,497,4,1988,PayPay,500,0,2488
ORD00000016,2024-05-18,CUST001538,19,大阪府,"英語文法",学習参考書,3698,1,3698,クレジットカード,0,0,3698
ORD00000017,2023-03-01,CUST003948,35,静岡県,"鬼滅の刃",漫画,628,1,628,銀行振込,500,222,906
ORD00000018,2023-10-08,CUST003023,65,千葉県,"冒険小説",児童書,1793,5,8965,クレジットカード,0,0,8965
ORD00000019,2023-03-11,CUST001525,65,東京都,"ファッション誌",雑誌,300,2,600,銀行振込,500,0,1100
ORD00000020,2024-09-15,CUST004876,18,愛知県,"現代文読解",学習参考書,1810,2,3620,楽天ペイ,0,571,3049
ORD00000021,2023-03-28,CUST004368,20,埼玉県,"ファッション誌",雑誌,1074,2,2148,Amazon Pay,0,359,1789
ORD00000022,2024-10-06,CUST000836,25,東京都,"物理基礎",学習参考書,2522,1,2522,クレジットカード,0,0,2522
ORD00000023,2023-02-14,CUST004711,30,神奈川県,"進撃の巨人",漫画,658,4,2632,銀行振込,0,0,2632
ORD00000024,2024-07-15,CUST003467,20,愛知県,"デザイン思考",ビジネス,1779,5,8895,PayPay,0,0,8895
